脚本ID,脚本名,解压后字节数,命中关键词,候选文件
286,アビリティ保存/scene_load,1978,"",""
287,アビリティ保存/scene_save,367,"",""
288,アビリティ保存/scene_show_ability,2528,"",""
289,アビリティ保存/window,2873,"",""
290,last/equip_booster,336,"",""
291,last/display_id,1469,tribe; job; subclass,0291_last_display_id.rb
292,ｔ,3242,"",""
293,テスト,2060,race,0293__.rb
294,▽ パッチスクリプト読込 ver5,3819,patch,0294__ver5.rb
295,gogr,0,"",""
296,▼ メイン【WF-RGSS】Exit-EX 終了処理,7303,クラス,0296__WF-RGSS_Exit-EX_.rb
297,"",0,"",""
298,×Main,395,クラス,0298__Main.rb
299,"",0,"",""
